Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/customers,11042,0,180.0,184.76173854364578,176.47633899468929,886.9965929770842,61.0,42.04939702277643,0.0,180,180,180,180,180,180,180,210,750,750,890
,Aggregated,11042,0,180.0,184.76173854364578,176.47633899468929,886.9965929770842,61.0,42.04939702277643,0.0,180,180,180,180,180,180,180,210,750,750,890
